
2025/02/06 (10:02:41) | ===> btop++ v.1.4.0
2025/02/06 (10:02:41) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2025/02/06 (11:55:28) | ===> btop++ v.1.4.0
2025/02/06 (11:55:28) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2025/02/06 (12:05:49) | ===> btop++ v.1.4.0
2025/02/06 (12:05:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2025/02/06 (12:26:14) | WARNING: Failed to join _runner thread on exit!

2025/02/06 (12:36:52) | ===> btop++ v.1.4.0
2025/02/06 (12:36:52) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
